Дата транзакции;Операция;Сумма;Валюта;Дата операции по счету;Комиссия/Money-back;Обороты по счету;Цифровая карта;Категория операции;
10.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi  ;-7,80;BYN;12.02.2022;0,00;-7,80;;Транспорт - Такси;
09.02.2022 00:00:00;Retail BLR INTERNET DELIVIO-DABRABYT  ;-39,22;BYN;11.02.2022;0,00;-39,22;;Ресторация / бары / кафе;
08.02.2022 20:23:01;Retail BLR Minsk BurgerLab  ;-35,50;BYN;08.02.2022;0,00;-35,50;;Ресторация / бары / кафе;
08.02.2022 16:39:25;CH Debit BLR MINSK P2P SDBO NO FEE  ;-500,00;USD;08.02.2022;0,00;-1 292,00;;Переводы с карты на карту;
08.02.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-2,40;BYN;09.02.2022;0,00;-2,40;;Транспортировка;
08.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-7,90;BYN;10.02.2022;0,00;-7,90;;Транспорт - Такси;
07.02.2022 20:36:40;CH Debit BLR MINSK P2P SDBO NO FEE  ;-350,00;USD;07.02.2022;0,00;-901,95;;Переводы с карты на карту;
07.02.2022 00:00:00;Retail BLR Minsk Magazin cvety  ;-27,00;BYN;08.02.2022;0,00;-27,00;;Магазины цветов;
07.02.2022 00:00:00;Retail BLR MINSK APTEKA N 78 "BELFARMATSIY  ;-3,04;BYN;08.02.2022;0,00;-3,04;;Аптеки;
07.02.2022 00:00:00;Retail BLR MINSK SHOP "VITALUR"  ;-12,87;BYN;08.02.2022;0,00;-12,87;;Магазины продуктовые;
07.02.2022 00:00:00;Retail BLR MINSK FITNES TSENTR FIZ-RA  ;-56,05;BYN;09.02.2022;0,00;-56,05;;Индивидуальные сервис провайдеры;
07.02.2022 00:00:00;Retail BLR G. MINSK MINI-KAFE KAFE 2  ;-20,50;BYN;09.02.2022;0,00;-20,50;;Ресторация / бары / кафе;
06.02.2022 11:57:04;ATM BLR VITEBSK ATM 234 VITEBSK  ;-50,00;BYN;06.02.2022;0,00;-50,00;;Снятие наличных;
06.02.2022 11:29:04;CH Debit BLR MINSK P2P_SDBO  ;-200,00;BYN;06.02.2022;0,00;-200,00;;Переводы с карты на карту;
06.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,10;BYN;08.02.2022;0,00;-5,10;;Транспорт - Такси;
05.02.2022 15:27:48;ATM BLR VITEBSK ATM 234 VITEBSK  ;-100,00;BYN;05.02.2022;0,00;-100,00;;Снятие наличных;
